Name,Location,Date,Year,Fatalities,Injured,Total,Venue,Latitude,Longitude,Type,,Summary
Stoneman Douglas High School shooting,"Parkland, Florida",2/14/2018,2018,17,14,31,School,,,Mass,,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus."
Pennsylvania carwash shooting,"Melcroft, PA",1/28/2018,2018,4,1,5,Other,,,Mass,,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital."
Rancho Tehama shooting spree,"Rancho Tehama, CA",11/14/2017,2017,5,10,15,Other,,,Spree,,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home."
Texas First Baptist Church massacre,"Sutherland Springs, TX",11/5/2017,2017,26,20,46+,Religious,32.7801052,-96.8000082,Mass,,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound."
Walmart shooting in suburban Denver,"Thornton, CO",11/1/2017,2017,3,0,3,Other,43.0605671,-88.1064787,Mass,,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver."
Edgewood businees park shooting,"Edgewood, MD",10/18/2017,2017,3,3,6,Workplace,,,Mass,,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities."
Las Vegas Strip massacre,"Las Vegas, NV",10/1/2017,2017,58,546,604,Other,32.693397,-97.47067092,Mass,,"Stephen Craig Paddock, 64, rained a barrage of rapid gunfire down on thousands of concertgoers on the Las Vegas Strip late on a Sunday night, firing from a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino. Soon thereafter, he was found by law enforcement inside the hotel room, deceased from a self-inflicted gunshot wound."
San Francisco UPS shooting,"San Francisco, CA",6/14/2017,2017,3,2,5,Workplace,,,Mass,,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene."
Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,2017,3,0,3,Workplace,35.047157,-85.311819,Mass,,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded."
Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,2017,5,0,5,Workplace,,,Mass,,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre."
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,2017,3,0,3,Workplace,38.874981,-76.99453,Mass,,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack."
